rm,A_hex,A_dec,A_sign,A_exp,A_man,B_hex,B_dec,B_sign,B_exp,B_man,Out_hex,Out_dec,Out_sign,Out_exp,Out_man,Ref_hex,Ref_dec,Ref_sign,Ref_exp,Ref_man,Result
000,0x3FA00000,1.25,0x0,0x7F,0x200000,0x3FB00000,1.375,0x0,0x7F,0x300000,0x40280000,2.625,0x0,0x80,0x280000,0x40280000,2.625,0x0,0x80,0x280000,PASS
000,0x3FA00000,1.25,0x0,0x7F,0x200000,0x443BD800,751.375,0x0,0x88,0x3BD800,0x443C2800,752.625,0x0,0x88,0x3C2800,0x443C2800,752.625,0x0,0x88,0x3C2800,PASS
000,0x3FA00000,1.25,0x0,0x7F,0x200000,0x3FA00000,1.25,0x0,0x7F,0x200000,0x40200000,2.5,0x0,0x80,0x200000,0x40200000,2.5,0x0,0x80,0x200000,PASS
000,0xBFC00000,-1.5,0x1,0x7F,0x400000,0x3FA00000,1.25,0x0,0x7F,0x200000,0xBE800000,-0.25,0x1,0x7D,0x000000,0xBE800000,-0.25,0x1,0x7D,0x000000,PASS
000,0x00000000,0.0,0x0,0x00,0x000000,0x80000000,-0.0,0x1,0x00,0x000000,0x00000000,0.0,0x0,0x00,0x000000,0x00000000,0.0,0x0,0x00,0x000000,PASS
000,0x3F800000,1.0,0x0,0x7F,0x000000,0x2F000000,1.1641532182693481e-10,0x0,0x5E,0x000000,0x3F800000,1.0,0x0,0x7F,0x000000,0x3F800000,1.0,0x0,0x7F,0x000000,PASS
000,0x5F1B3E64,1.1186488475597668e+19,0x0,0xBE,0x1B3E64,0x5F1B3E64,1.1186488475597668e+19,0x0,0xBE,0x1B3E64,0x5F9B3E64,2.2372976951195337e+19,0x0,0xBF,0x1B3E64,0x5F9B3E64,2.2372976951195337e+19,0x0,0xBF,0x1B3E64,PASS
000,0x7F800000,inf,0x0,0xFF,0x000000,0x3F800000,1.0,0x0,0x7F,0x000000,0x7F800000,inf,0x0,0xFF,0x000000,0x7F800000,inf,0x0,0xFF,0x000000,PASS
000,0x7FC00001,nan,0x0,0xFF,0x400001,0x40000000,2.0,0x0,0x80,0x000000,0x7FC00001,nan,0x0,0xFF,0x400001,0x7FC00001,nan,0x0,0xFF,0x400001,PASS
000,0x00000080,1.793662034335766e-43,0x0,0x00,0x000080,0x3F000000,0.5,0x0,0x7E,0x000000,0x3F000000,0.5,0x0,0x7E,0x000000,0x3F000000,0.5,0x0,0x7E,0x000000,PASS
001,0x3E99999A,0.30000001192092896,0x0,0x7D,0x19999A,0x3E99999A,0.30000001192092896,0x0,0x7D,0x19999A,0x3F19999A,0.6000000238418579,0x0,0x7E,0x19999A,N/A,N/A,N/A,N/A,N/A,SKIP
010,0x3E99999A,0.30000001192092896,0x0,0x7D,0x19999A,0x3E4CCCCD,0.20000000298023224,0x0,0x7C,0x4CCCCD,0x3F000000,0.5,0x0,0x7E,0x000000,N/A,N/A,N/A,N/A,N/A,SKIP
011,0x3F000000,0.5,0x0,0x7E,0x000000,0x00000001,1.401298464324817e-45,0x0,0x00,0x000001,0x3F000000,0.5,0x0,0x7E,0x000000,N/A,N/A,N/A,N/A,N/A,SKIP
000,0xC2480000,-50.0,0x1,0x84,0x480000,0x42480000,50.0,0x0,0x84,0x480000,0x00000000,0.0,0x0,0x00,0x000000,0x00000000,0.0,0x0,0x00,0x000000,PASS
